data_idx,id,type,value,baseline,finetuned
14,anli_test_ddc7331b-dfdb-4c7d-bdbd-d2fa711e575d,,,,
,,question,"Premise: How to run for mayor<br>Become involved in community initiatives. As mayor, you'll be involved in numerous aspects of the local community. You can get a head-start in local politics and government by becoming involved in community initiatives.
Hypothesis: The local community's support is an ideal way to win votes.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""As mayor, you'll be involved in numerous aspects of the local community."" This implies that being involved in the local community is a part of the role of a mayor, but it does not directly imply that it is an ideal way to win votes.",0.1923828125,0.59375
,,step 1,"However, the premise also says, ""get a head-start in local politics and government by becoming involved in community initiatives,"" suggesting that being involved in community initiatives can be beneficial for one's career in local politics and government, which might indirectly imply that it can also help in winning votes.",0.8515625,0.70703125
,,step 2,"Therefore, the premise does not directly derive the hypothesis, but it provides a context that makes it plausible. However, this context is not strong enough to make the hypothesis a necessary conclusion from the premise.",0.73046875,0.65234375
,,step 3,"Therefore, the final answer is neutral.",0.9921875,0.96875
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""As mayor, you'll be involved in numerous aspects of the local community."" This implies that being involved in the local community can lead to a role as mayor.",0.15625,0.92578125
,,step 1,"Premise also says, ""you can get a head-start in local politics and government by becoming involved in community initiatives,"" suggesting that being involved in community initiatives can be beneficial for a political career.",1.0,0.9921875
,,step 2,"While the premise does not directly say that the local community's support is an ideal way to win votes, it implies that being involved in the community can lead to a role as mayor, which could potentially lead to community support and votes.",0.8359375,0.73046875
,,step 3,"Therefore, the final answer is entailment.",0.99609375,0.8515625
,,step 4,"However, a more nuanced answer is that the premise supports a broader statement that could entail the hypothesis.",0.99609375,0.6796875
,,annotation,finetuned_wrong,,
32,anli_test_08c29049-771d-4f75-9d3f-500128b34917,,,,
,,question,"Premise: Going to the Beach<br>Channel woke up in the morning, and decided to go the beach. She put on her bathing suit, packed a cooler, and grabbed a towel. She got in her car and drove a distance. Parking, and then walking to the beach. She placed her towel on the beach and enjoyed the wonderful day.
Hypothesis: Channel parked her car away from the beach.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""She got in her car and drove a distance. Parking,"" but it does not specify where she parked, only that she parked.",0.46875,0.796875
,,step 1,It does not provide enough information to determine if she parked away from the beach or not. ,0.6796875,0.376953125
,,step 2,"Therefore, the final answer is neutral.",0.98828125,0.984375
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""She got in her car and drove a distance. Parking,"" but it does not specify the location of the parking spot relative to the beach.",0.392578125,0.53125
,,step 1,"However, it also says, ""She parked, and then walking to the beach,"" which implies that the parking spot is not at the beach, but rather before reaching the beach.",0.9609375,0.81640625
,,step 2,"Therefore, the final answer is entailment.",0.96875,0.99609375
,,annotation,both_wrong_scores,,
33,anli_test_8c67d7c2-f4f1-4379-b052-d4eafdac2913,,,,
,,question,"Premise: Trying Tofu<br>Alicia was feeling a little adventurous. She wanted to try Tofu. She had never had it before. So she took a small bite. To her delight it was delicious.
Hypothesis: Tofu contains the letters to
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise does not mention the letters in the word ""tofu"" at all. It talks about Alicia trying tofu and enjoying it.",0.349609375,0.77734375
,,step 1,"The premise does not provide any information about the letters in the word ""tofu.""",0.9921875,0.9921875
,,step 2,"Therefore, the final answer is neutral.",0.9453125,0.9765625
,,solution selected by finetuned,,,
,,step 0,"The premise mentions the word ""tofu"", which contains the letters ""to"".",0.28125,0.98046875
,,step 1,"The premise does not say anything about the taste, nutritional content, or any other properties of tofu, but it does provide evidence that the word ""tofu"" contains the letters ""to"".",0.9921875,0.97265625
,,step 2,"Therefore, the final answer is entailment.",0.53125,0.95703125
,,annotation,wrong_ground_truth,,
50,anli_test_98fdf639-a862-4ae4-8a4b-65fb6501cbda,,,,
,,question,"Premise: The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.
Hypothesis: President Bush is responsible for the gains.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise says that President Bush can celebrate the job gains, which implies that the job gains occurred during his term in office. However, it does not imply that he was responsible for the gains.",0.62109375,0.349609375
,,step 1,"Therefore, the premise does not necessarily attribute the job gains to President Bush, it only mentions that he can celebrate them.",0.9921875,0.984375
,,step 2,"The premise does not provide any information about the cause of the job gains, so it does not entail or contradict the hypothesis.",0.9765625,0.81640625
,,step 3,"Therefore, the final answer is neutral.",0.99609375,0.9921875
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""The job gains mean that President Bush can celebrate... a net growth in jobs in the US economy in his first term in office."" This implies that the job gains are a result of President Bush's presidency.",0.05029296875,0.73046875
,,step 1,"However, the premise does not explicitly state that President Bush is responsible for the gains, but it implies it.",0.6796875,0.9140625
,,step 2,"Therefore, the final answer is entailment.",0.294921875,0.99609375
,,annotation,wrong_ground_truth,,
52,anli_test_fde71938-df6f-4028-81ab-d11a05a3f8aa,,,,
,,question,"Premise: Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded.
Hypothesis: It is not the dioxide Green Party.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise mentions ""Oxygen Green Party"", which is a name that includes the word ""Oxygen"". The hypothesis states ""It is not the dioxide Green Party"", which does not relate to the name ""Oxygen"" mentioned in the premise. ",0.26953125,0.1640625
,,step 1,"However, the hypothesis does imply that the party is the Green Party. Since the premise does not mention ""dioxide"" at all, it does not provide any information about the party being the ""dioxide"" Green Party. ",0.9140625,0.5625
,,step 2,"The name ""Oxygen"" in the premise does not provide any information about the party being the ""dioxide"" Green Party. ",0.96875,0.77734375
,,step 3,"Therefore, the final answer is neutral.",0.96875,0.6796875
,,solution selected by finetuned,,,
,,step 0,"The premise mentions the Oxygen Green Party, which is the opposite of the hypothesis, ""It is not the dioxide Green Party."" The premise implies that the party is indeed the ""Oxygen Green Party"", not the ""dioxide Green Party"".",0.2119140625,0.93359375
,,step 1,"In summary, the premise directly contradicts the hypothesis.",0.9453125,0.89453125
,,step 2,"Therefore, the final answer is contradiction.",1.0,1.0
,,annotation,wrong_ground_truth,,
70,anli_test_0af480d6-a98c-4675-a66f-ad740bfe50d7,,,,
,,question,"Premise: Botswana Accountancy College students will host a Miss BAC Night Show this Friday at Adansonia Hotel. The show which will see young ladies compete for the coveted Miss BAC crown is a school project in which the students will be assessed. Organisers of the show have roped in Democratic Republic of Congo upcoming artist Farrai Solo to spice up the evening while Francistown based DJs such as Mr Cue, The Dude, Da Quinty and F-Squared will also entertain. The all black formal event tickets sell for P100 and P80 for students. Tickets are inclusive of buffet dinner.
Hypothesis: The all black formal event tickets will sell under P100 for everybody.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,contradiction,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""tickets sell for P100 and P80 for students."" This implies that tickets for non-students (i.e., adults) sell for P100, but it does not say that the tickets will sell under P100 for everybody.",0.59375,0.65234375
,,step 1,"In fact, it explicitly states that the non-student tickets sell for P100, which is not under P100.",0.96875,0.99609375
,,step 2,"Therefore, the final answer is contradiction.",0.94140625,0.98828125
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""tickets sell for P100 and P80 for students."" This implies that the ticket prices are not the same for everybody.",0.376953125,0.953125
,,step 1,"It also says, ""tickets are inclusive of buffet dinner,"" and that the event is an ""all black formal event,"" but it does not imply that the ticket price is under P100 for everybody.",0.8359375,0.796875
,,step 2,"In summary, the premise implies that the ticket prices are not the same for everybody, and it does not provide any information that would support the hypothesis.",0.87890625,0.96875
,,step 3,"Therefore, the final answer is neutral.",0.984375,0.8671875
,,annotation,both_wrong_scores,,
87,anli_test_d9f0748d-8363-4b62-9ea6-6a940f945f27,,,,
,,question,"Premise: Lebanon is in a period of mourning after a massive car bomb killed the former Prime Minister, Rafik Hariri, on Tuesday.
Hypothesis: Rafik Hariri was from Lebanon.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"The premise says, ""the former Prime Minister, Rafik Hariri,"" which implies that Rafik Hariri was the Prime Minister of Lebanon at some point. It does not provide any information about his nationality, but it does provide information about his role in Lebanon. ",0.828125,0.87890625
,,step 1,"The hypothesis is that Rafik Hariri was from Lebanon. There is no contradiction or entailment between the premise and the hypothesis. The premise does not provide any information about Rafik Hariri's nationality, it only provides information about his role in Lebanon.",0.97265625,0.349609375
,,step 2,"Therefore, the final answer is neutral.",0.99609375,0.89453125
,,solution selected by finetuned,,,
