data_idx,id,type,value,baseline,finetuned
6,anli_test_aa6544a7-fe28-4e34-a47d-cbba2814dc2a,,,,
,,question,"Premise: The Texas Wrestling Academy (formerly known as The Shawn Michaels Wrestling Academy) is a professional wrestling training school that was operated by Shawn Michaels and Rudy Boy Gonzalez. The school has produced many well-known wrestlers such as Daniel Bryan, Brian Kendrick, Paul London, Lance Cade, Shawn Hernandez, Matt Bentley and Milano Collection A.T.
Hypothesis: The TWA used to be known as the SMWA.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,neutral,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""The Texas Wrestling Academy (formerly known as The Shawn Michaels Wrestling Academy)"".",0.8515625,0.9765625
,,step 1,"This implies that the Texas Wrestling Academy was previously known as the Shawn Michaels Wrestling Academy, but also that it was not previously known as the SMWA.",0.26953125,0.376953125
,,step 2,"Therefore, the premise directly contradicts the hypothesis.",0.73046875,0.9921875
,,step 3,The final answer is contradiction.,0.99609375,1.0
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""The Texas Wrestling Academy (formerly known as The Shawn Michaels Wrestling Academy)"".",0.8515625,0.9765625
,,step 1,"This implies that the Texas Wrestling Academy was previously known as ""The Shawn Michaels Wrestling Academy"", but it does not explicitly state that it was previously known as the ""SMWA"".",0.005218505859375,0.62109375
,,step 2,"Therefore, the premise only provides a partial match, but does not confirm the exact previous name, making it neutral.",0.5,0.75390625
,,annotation,baseline_wrong,,
20,anli_test_b42b7ad3-965d-43ef-8333-df178c126064,,,,
,,question,"Premise: Well, because there wasn't really a clear resolution to what had occurred the previous meeting. In addition, I was very angry when I left the June 7th meeting just because of the demeanor of the school board and the things that were being said. And, honestly, I thought that maybe it would set me into labor because of, you know, being angry, and at that point in time I was past my due date, in addition to caring about my children's education and everything I said previously.
Hypothesis: The speaker here is a man.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,contradiction,,
,,solution selected by baseline,,,
,,step 0,"There is no information in the premise that implies the speaker is a man. The premise mentions ""I"", ""me"", and ""my children"", but these pronouns do not provide any information about the speaker's gender.",0.75390625,0.408203125
,,step 1,"Therefore, the final answer is neutral.",0.96875,0.96875
,,solution selected by finetuned,,,
,,step 0,"The premise mentions that the speaker was ""past my due date,"" which implies that the speaker is a woman, as ""due date"" typically refers to the expected date of childbirth.",0.1328125,0.70703125
,,step 1,This information contradicts the hypothesis that the speaker is a man.,0.97265625,0.97265625
,,step 2,"Therefore, the final answer is contradiction.",0.98828125,1.0
,,annotation,baseline_wrong,,
27,anli_test_f661490b-1ed1-4329-8e23-19e573e03051,,,,
,,question,"Premise: × Man injured in west side fire INDIANAPOLIS–One man was injured when his west side home caught fire Sunday afternoon. Shortly before 5 p.m., firefighters were called to the 5200 block of Ida Street. That scene is near Rockville Road and Lynhurst Drive. Smoke was showing from the one-story residence when fire units arrived. Fire crews quickly brought the flames under control. The male occupant was taken to Eskenazi Hospital with burns to his hands and face. He is reported to be in stable condition. The cause of the fire remains under investigation.
Hypothesis: the stairs burned in the fire
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,contradiction,,
,,solution selected by baseline,,,
,,step 0,"Premise says, ""Smoke was showing from the one-story residence when fire units arrived."" This implies that the fire occurred in a one-story house, which means there was no second story with stairs.",0.3203125,0.87890625
,,step 1,"Therefore, the premise does not entail the hypothesis, but it does imply that the stairs did not burn. However, the premise does not provide any information about the stairs, so it is neutral regarding the hypothesis.",0.6796875,0.53125
,,step 2,"Therefore, the final answer is neutral.",0.99609375,0.9921875
,,solution selected by finetuned,,,
,,step 0,"Premise says, ""That scene is near Rockville Road and Lynhurst Drive"" and ""the one-story residence.""",0.119140625,0.96875
,,step 1,"A one-story residence would not typically have stairs, as stairs are usually found in multi-story buildings.",0.97265625,0.93359375
,,step 2,"In summary, the premise implies that the house was a one-story residence, which contradicts the idea that the stairs burned in the fire.",0.9609375,0.94140625
,,step 3,"Therefore, the final answer is contradiction.",0.99609375,1.0
,,annotation,baseline_wrong,,
37,anli_test_a03fbbac-ecf6-4e45-adb9-1243a5e138c8,,,,
,,question,"Premise: BALTIMORE _ The winning numbers in Monday evening's drawing of the Maryland Lottery's ""5 Card Cash"" game were: 4C-10C-5H-5S-8S (4C, 10C, 5H, 5S, 8S) Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.
Hypothesis: The draw was held twice.
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,contradiction,,
,,solution selected by baseline,,,
,,step 0,There is no information in the premise that suggests the draw was held more than once.,0.71875,0.73046875
,,step 1,"There is no information in the premise that suggests the draw was held only once, either.",0.953125,0.75390625
,,step 2,"The premise simply states the winning numbers of a single drawing of the Maryland Lottery's ""5 Card Cash"" game.",0.9609375,1.0
,,step 3,"In summary, the premise does not provide any information that is relevant to the hypothesis, and it does not derive the hypothesis.",0.9921875,0.8515625
