data_idx,id,type,value,baseline,finetuned
7,anli_test_4850324b-00e5-4df3-ad98-460c52d5eb0f,,,,
,,question,"Premise: LONDON, Oct 28 (Reuters) - Britain will sell 4.0 billion pounds ($6.45 billion) of the 2068 gilt after offering it via syndication, one of the bookrunners of the deal said on Tuesday. Earlier, one of the leads said Britain received orders worth more than 13 billion pounds by the time books closed. (Reporting by Andy Bruce, editing by David Milliken)
Hypothesis: Britain was seeling more than one year worth of gilt
Question: do the premises derive the hypothesis? Provide reasoning and answer with either ""entailment"", ""contradiction"" or ""neutral"".",,
,,y_true,entailment,,
,,solution selected by baseline,,,
,,step 0,"Premise states, ""Britain will sell 4.0 billion pounds of the 2068 gilt after offering it via syndication.""",0.9921875,0.98828125
,,step 1,"This means the gilt being sold matures in the year 2068, which is more than 40 years from the current year (2023).",1.0,0.796875
,,step 2,"Premise also states, ""Earlier, one of the leads said Britain received orders worth more than 13 billion pounds by the time books closed.""",0.99609375,0.98828125
,,step 3,This information is about the demand for the gilt but does not affect the maturity period of the gilt being sold.,1.0,0.9921875
,,step 4,"Given that the gilt matures in 2068, it clearly indicates that the gilt being sold is more than one year worth of gilt.",0.9609375,0.2451171875
,,step 5,"Therefore, the premise entails the hypothesis.",1.0,0.96875
,,step 6,Final answer: entailment.,1.0,1.0
,,solution selected by finetuned,,,
,,step 0,"Premise states that Britain will sell ""4.0 billion pounds of the 2068 gilt.""",0.93359375,0.9609375
,,step 1,This means the gilt being sold matures in the year 2068.,1.0,0.96875
,,step 2,"Premise also states that ""Britain received orders worth more than 13 billion pounds by the time books closed.""",0.9921875,0.99609375
,,step 3,This indicates the demand for the gilt but does not affect the maturity period.,1.0,0.99609375
,,step 4,"The term ""2068 gilt"" suggests that the gilt has a maturity date in 2068, which is more than 40 years from the current year (2023).",1.0,0.9140625
,,step 5,"Therefore, selling ""4.0 billion pounds of the 2068 gilt"" does not imply selling more than one year worth of gilt, but rather a large amount of a specific type of gilt that matures in 2068.",0.99609375,0.8515625
,,step 6,The hypothesis is not supported by the given premise.,0.796875,0.8359375
,,step 7,"Therefore, the final answer is neutral.",0.98046875,0.9921875
,,annotation,wrong_ground_truth,,
